,Número de granos de arena,Algoritmo 1,Algoritmo 2
0,128,342,227
1,635,7487,4793
2,1143,24458,16078
3,1650,49881,32492
4,2158,82730,53135
5,2665,133789,87992
6,3173,186435,122485
7,3681,254326,167636
8,4188,326938,214903
9,4696,401556,262137
10,5203,493764,321864
11,5711,591864,385438
12,6219,710489,466231
13,6726,847730,559952
14,7234,967174,633936
15,7741,1087951,709311
16,8249,1237126,808172
17,8757,1413691,928341
18,9264,1582694,1036091
19,9772,1757442,1154079
20,10279,1914919,1246342
21,10787,2094821,1363012
22,11295,2330178,1521444
23,11802,2566766,1682519
24,12310,2771217,1811492
25,12817,2985416,1949000
26,13325,3235033,2110156
27,13832,3506817,2294220
28,14340,3714265,2415880
29,14848,3997312,2601199
30,15355,4310481,2818909
31,15863,4545866,2951120
32,16370,4899528,3204166
33,16878,5154156,3353381
34,17386,5500737,3584337
35,17893,5763082,3739356
36,18401,6132437,3990149
37,18908,6488309,4230647
38,19416,6848133,4464852
39,19924,7272652,4754319
40,20431,7551497,4912500
41,20939,7898792,5121781
42,21446,8352054,5444313
43,21954,8700362,5658355
44,22462,9184113,5988538
45,22969,9571919,6227014
46,23477,9948510,6462816
47,23984,10474973,6830937
48,24492,10857010,7068120
49,25000,11323826,7365295
